# P	count	tag	form
1.00	1	NUM	Четыреста
1.00	2	NUM	двадцать
1.00	1	NUM	восемь
1.00	1	VERB	перестань
1.00	1	VERB	высчитывать
1.00	1	ADJ	излишней
1.00	1	NOUN	горячностью
1.00	1	VERB	воскликнул
1.00	1	VERB	оставалось
1.00	1	NOUN	кое-что
1.00	1	VERB	пошел
1.00	1	VERB	думаешь
1.00	1	ADV	снова
1.00	1	VERB	связался
1.00	2	VERB	покончил
1.00	2	PRON	этим
1.00	1	ADJ	понятно
1.00	1	ADJ	Надень
1.00	2	VERB	пойдем
1.00	1	VERB	прогуляемся
1.00	1	VERB	постаралась
1.00	1	VERB	усыпить
1.00	1	NOUN	подозрения
1.00	1	NOUN	Соболя
1.00	1	VERB	убаюкивают
1.00	1	ADV	Горделиво
1.00	1	NOUN	королева
1.00	1	VERB	выступала
1.00	2	NOUN	улице
1.00	2	NOUN	руку
1.00	1	PRON	Здешним
1.00	1	NOUN	жителям
1.00	1	ADV	никогда
1.00	1	VERB	доводилось
1.00	1	VERB	видеть
1.00	1	ADJ	подлинных
1.00	1	VERB	Весть
1.00	1	VERB	облетела
1.00	1	NOUN	квартал
1.00	1	NOUN	окна
1.00	1	NOUN	двери
1.00	1	ADV	мгновенно
1.00	1	VERB	обросли
1.00	1	NOUN	гроздьями
1.00	1	NOUN	голов
1.00	1	ADJ	Каждому
1.00	1	ADJ	любопытно
1.00	1	VERB	поглядеть
1.00	2	ADJ	шикарный
1.00	1	ADJ	соболий
1.00	1	VERB	преподнес
1.00	1	NOUN	милашке
1.00	2	ADP	По
1.00	1	NOUN	улицам
1.00	1	VERB	разносились
1.00	1	VERB	восторженные
1.00	1	NOUN	«ахи»
1.00	1	NOUN	«охи»
1.00	1	ADJ	баснословная
1.00	1	NOUN	сумма
1.00	1	VERB	уплаченная
1.00	1	VERB	передаваясь
1.00	1	NOUN	уст
1.00	1	NOUN	уста
1.00	1	ADV	неуклонно
1.00	1	VERB	росла
1.00	1	NOUN	видом
